combination,num_train,num_test,positive_rate_test,auc,auc_ci_lower,auc_ci_upper,auc_pval,auprc,auprc_ci_lower,auprc_ci_upper,auprc_pval,logloss,logloss_ci_lower,logloss_ci_upper,logloss_pval
-1_0,686,304,0.003289473684210526,0.3366336633663366,0.28712871287128716,0.38613861386138615,1.0,0.0049504950495049506,0.004651162790697674,0.01990049751243781,0.0,0.040205834426949125,0.03188974276307969,0.09471252252645185,0.0031496062992125984
-1_2,2745,1162,0.0051635111876075735,0.7988754325259515,0.5774332759620154,0.9691008890943564,0.006012024048096192,0.037727647629870305,0.00666138827749246,0.14585876734211425,0.01002004008016032,0.030366474028127272,0.014575445789468282,0.050771481337252206,0.0
-1_0_1,750,332,0.0030120481927710845,0.37462235649546827,0.32326283987915405,0.4259818731117825,1.0,0.004807692307692308,0.004471292440743113,0.01842973110096397,0.0,0.05503342654277113,0.041461839903341006,0.09666984223269243,0.0065040650406504065
-1_0_2,3376,1447,0.0048375950241879755,0.7538690476190477,0.4928734314671815,0.9635858835685704,0.03,0.03909984867178883,0.005717293674553071,0.14984731328105497,0.02,0.028749234940125552,0.013907560864289722,0.047513906760174085,0.0
-1_1_2,2809,1190,0.005042016806722689,0.8160191441441442,0.5637446995122624,0.9787345773644257,0.010030090270812437,0.048319736694686706,0.0084141435513953,0.18397841792955813,0.012036108324974924,0.029828467340793297,0.015933873570108663,0.048465906943971834,0.0
-1_0_1_2,3440,1475,0.0047457627118644066,0.7075710393149086,0.4671227056424202,0.937866729560621,0.04704704704704705,0.023250744149021344,0.004330991762276162,0.07908454807131626,0.028028028028028028,0.0298865359079681,0.013486294735482721,0.04875796682939324,0.0
